Title,Company,Experience,Salary,Location,Description,Tags,Posting Day,job_link
Senior Consultant - Tech Consulting- Digital -Salesforce Developer,EY,5.0,,Mumbai,. Good experience using SFDX tools for development and deployment . Should be proficien...,"Assurance, Architecture, Coding, Relationship building, Consulting, Agile, Workflow, Scrum",2,https://www.naukri.com/job-listings-senior-consultant-tech-consulting-digital-salesforce-developer-ernst-young-mumbai-5-to-8-years-171224502075
Software Development Engineer,Accenture,2.0,,Mumbai,"Project Role :Software Development EngineerProject Role Description :Analyze, design, c...","financial instruments, sql, java, calypso, calypso development, software development, liferay portal, bonds",10,https://www.naukri.com/job-listings-software-development-engineer-accenture-solutions-pvt-ltd-mumbai-2-to-7-years-091224915811
Solution Architect- Contact Center,Wipro,5.0,,Bengaluru,"At least 5+ years recent relevant experience in in unified communications design, imple...","python, unified communications, sales, node.js, crm, c#, public cloud, architecting",20,https://www.naukri.com/job-listings-solution-architect-contact-center-wipro-limited-bengaluru-5-to-10-years-281124921272
Site Reliability Engineering Professional: Platform,IBM,4.0,,"Hyderabad, Bengaluru",Your Role and ResponsibilitiesAs a Site Reliability Engineer for the CIO Hybrid Cloud Z...,"mainframes, rexx, dbms, docker, zos, kubernetes, redhat openshift, performance tuning",1,https://www.naukri.com/job-listings-site-reliability-engineering-professional-platform-ibm-india-pvt-limited-hyderabad-bengaluru-4-to-8-years-181224916269
Experience Management-Senior Manager,Verizon,4.0,,"Hyderabad, Chennai",Bachelor's degree with 6+ years of experience in leading Experience Teams and implement...,"Digital Operations, Figma, CX Management, Adobe XD, Adobe Creative Cloud, agile methodology, Cloud, Adobe",0,https://www.naukri.com/job-listings-experience-management-senior-manager-verizon-data-services-india-pvt-ltd-hyderabad-chennai-4-to-8-years-191224908222
Security Architect,Accenture,5.0,,Noida,Minimum . 5 year(s) of experience is required. Educational Qualification : 15 years ful...,"j2ee development, sap module, identityiq, java, sailpoint, rest, workday, cloud security",0,https://www.naukri.com/job-listings-security-architect-accenture-solutions-pvt-ltd-noida-5-to-10-years-191224917610
Data Engineer: Data Platforms,IBM,3.0,,Pune,Required Technical and Professional Expertise . Must have 3-5 years exp in Big Data -Ha...,"scala, spark, hadoop, big data, python, hive, pyspark, hadoop spark",4,https://www.naukri.com/job-listings-data-engineer-data-platforms-ibm-india-pvt-limited-pune-3-to-5-years-151224901820
Backend Developer,IBM,5.0,,Bengaluru,"Your Role and Responsibilities The shift toward the consumption of IT as a service, i.e...","c#, kubernetes, docker, troubleshooting, debugging, container, continuous integration, python",22,https://www.naukri.com/job-listings-backend-developer-ibm-india-pvt-limited-bengaluru-5-to-10-years-261124922147
Hardware Engineer,IBM,1.0,,"Hyderabad, Pune, Bengaluru","Degree in VLSI design or electronics; strong skills in Digital Logic design, Computer A...","python, physical design, hardware engineering, silicon, perl, electronic components, matlab, software testing",9,https://www.naukri.com/job-listings-hardware-engineer-ibm-india-pvt-limited-hyderabad-pune-bengaluru-1-to-4-years-101224913643
Inviting Applications For Underwriting - Noida,Genpact,0.0,,Noida,Graduation in any stream except BTech and Technical Graduation & Law Freshers are eligi...,"insurance, analytical, health insurance, verbal communication, claims adjudication, medical underwriting, healthcare, life insurance",1,https://www.naukri.com/job-listings-inviting-applications-for-underwriting-noida-genpact-noida-0-to-5-years-181224012298
Application Lead,Accenture,7.0,,Mumbai,Educational Qualification : 15 years full time education. Summary :As an Application Le...,"java collections, spring boot framework, spring boot, java, japanese language, rest, python, css",5,https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-mumbai-7-to-12-years-131224920370
Application Developer,Accenture,5.0,,Pune,"Project Role :Application DeveloperProject Role Description :Design, build and configur...","cloud application development, oracle scm, ascp, supply chain planning, supply chain management, oracle, software testing, order management",3,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-pune-5-to-10-years-151224902557
Java Fullstack Developer,Infosys,3.0,,Pune,"Bachelor Of Technology, Bachelor of Engineering Preferred Skills: Technology->Reactive ...","mainframes, react.js, reactive programming, java, agile methodology, project management, information management, test cases",5,https://www.naukri.com/job-listings-java-fullstack-developer-infosys-limited-pune-3-to-5-years-131224921561
Multi Cloud Architect,PwC India,7.0,,"Hyderabad, Bengaluru, Mumbai (All Areas)",Experience : 8-12Years . Level : Manager .,"GCP, Cloud Migration, Iac, AWS, Container, Cloud Security, Cloud Architecture, Devops",30,https://www.naukri.com/job-listings-multi-cloud-architect-pwc-india-hyderabad-bengaluru-mumbai-all-areas-7-to-12-years-111024008395
HR Apprentice,Deutsche Bank,0.0,,"Mumbai, Pune, Bengaluru",Role DescriptionAn Apprentice is an employee on a formal apprenticeship programme. Work...,"recruitment, talent management, screening, sourcing, Management",1,https://www.naukri.com/job-listings-hr-apprentice-deutsche-bank-ag-mumbai-pune-bengaluru-0-to-1-years-181224907480
Application Lead,Accenture,2.0,,Bengaluru,"Project Role :Application LeadProject Role Description :Lead the effort to design, buil...","react.js, software development methodologies, web development, javascript, angular, css, web services, ado.net",2,https://www.naukri.com/job-listings-application-lead-accenture-solutions-pvt-ltd-bengaluru-2-to-4-years-171224912326
